,first,second
0,"People with Aries rising tend to be energetic, pioneering, rash, argumentative, selfish, impulsive, quick-tempered, aggressive, assertive, headstrong, independent, alert, mechanically-inclined, physically active, self-promoting, self-centered in an unthinking way, and more thoughtless than mean.","You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results."
1,"People with Aries rising tend to be energetic, pioneering, rash, argumentative, selfish, impulsive, quick-tempered, aggressive, assertive, headstrong, independent, alert, mechanically-inclined, physically active, self-promoting, self-centered in an unthinking way, and more thoughtless than mean.","Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people."
2,"People with Aries rising tend to be energetic, pioneering, rash, argumentative, selfish, impulsive, quick-tempered, aggressive, assertive, headstrong, independent, alert, mechanically-inclined, physically active, self-promoting, self-centered in an unthinking way, and more thoughtless than mean.",You like the challenges of life and are very competitive and sometimes combative.
3,"People with Aries rising tend to be energetic, pioneering, rash, argumentative, selfish, impulsive, quick-tempered, aggressive, assertive, headstrong, independent, alert, mechanically-inclined, physically active, self-promoting, self-centered in an unthinking way, and more thoughtless than mean.",You get bored easily with routine and one thing you may need to practice more of is persistence.
4,"People with Aries rising tend to be energetic, pioneering, rash, argumentative, selfish, impulsive, quick-tempered, aggressive, assertive, headstrong, independent, alert, mechanically-inclined, physically active, self-promoting, self-centered in an unthinking way, and more thoughtless than mean.","You tend to jump from one thing to another, always looking for something new."
5,"People with Aries rising tend to be energetic, pioneering, rash, argumentative, selfish, impulsive, quick-tempered, aggressive, assertive, headstrong, independent, alert, mechanically-inclined, physically active, self-promoting, self-centered in an unthinking way, and more thoughtless than mean.",Finish what you start before moving on.
6,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.","Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people."
7,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",You like the challenges of life and are very competitive and sometimes combative.
8,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",You get bored easily with routine and one thing you may need to practice more of is persistence.
9,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.","You tend to jump from one thing to another, always looking for something new."
10,"You have a general dislike for restraint of any kind, don't like to be told what to do, need to learn diplomacy and tact, need to look before leaping, need to better learn how to channel your energies for more constructive purposes and results.",Finish what you start before moving on.
11,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",You like the challenges of life and are very competitive and sometimes combative.
12,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",You get bored easily with routine and one thing you may need to practice more of is persistence.
13,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.","You tend to jump from one thing to another, always looking for something new."
14,"Like the ram who symbolizes this sign, you tend to butt your head against your problems hoping that with enough force you can eventually knock down whatever stands before you, including people.",Finish what you start before moving on.
15,You like the challenges of life and are very competitive and sometimes combative.,You get bored easily with routine and one thing you may need to practice more of is persistence.
16,You like the challenges of life and are very competitive and sometimes combative.,"You tend to jump from one thing to another, always looking for something new."
17,You like the challenges of life and are very competitive and sometimes combative.,Finish what you start before moving on.
18,You get bored easily with routine and one thing you may need to practice more of is persistence.,"You tend to jump from one thing to another, always looking for something new."
19,You get bored easily with routine and one thing you may need to practice more of is persistence.,Finish what you start before moving on.
20,"You tend to jump from one thing to another, always looking for something new.",Finish what you start before moving on.
