,sentence,score,definition,trait
0,You never give up.,0.9307766712,never-ceasing,persistent
1,You never find it difficult to change your mind or course in mid-stream.,0.9394177698,capable of being changed,flexible
2,"Whatever you have set your sights on, you refuse to give up or let go of it.",0.9104739465,acting with a specific goal,shrewd
3,You are patient unless someone takes you too far.,0.9277914695,beyond or deviating from the usual or expected,curious
4,You are usually slow to anger unless someone takes you too far.,0.9466805156,not easily irritated,placid
5,You are reliable.,0.9686051734,dependable,stalwart
6,You are consistent.,0.9566933753,relating to a person who does something regularly,regular
7,You can handle more of the workload than most around you.,0.9016642384,having substance or capable of being treated as fact; not imaginary,real
8,"You prefer a regular routine, defined responsibilities.",0.9632232262,relating to a person who does something regularly,regular
9,"You prefer a regular routine, defined tasks.",0.9608461795,relating to a person who does something regularly,regular
10,You enjoy building and seeing the results of your hard work.,0.920616519,exhibiting or characterized by careful thought,thoughtful
11,"Keeping things going is your strength, especially once someone else starts them.",0.9308042444,involving the joint activity of two or more,cooperative
12,Money and possessions are important to you for the feelings of security they bring.,0.9281576391,having or marked by confidence or assurance,confident
13,You are handy with your hands.,0.9173970546,having substance or capable of being treated as fact; not imaginary,real
14,You may be ambidextrous or mechanically inclined.,0.9262045788,possessing or exerting or displaying energy,energetic
15,Debate and argument appeal to you.,0.9322755566,stimulating interest or thought,challenging
16,You grasp concepts easily.,0.8933536802,having received information,advised
17,You may become impatient with those who do n't learn as quickly.,0.9160453155,possessing or exerting or displaying energy,energetic
18,"You are very direct in thought, action, and speech and everyone knows how you feel.",0.9664176906,capable of thinking and expressing yourself in a clear and consistent manner,coherent
19,You are adventurous.,0.9579869582,showing curiosity,inquisitive
20,You are courageous.,0.9508910767,showing courage,spunky
21,You are independent.,0.885754221,having substance or capable of being treated as fact; not imaginary,real
22,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.",0.9822591424,characterized by energetic activity,active
23,You have common sense to manage others.,0.9605745248,possessing sound knowledge,intelligent
24,You have the ability to manage others.,0.910578114,skillful in statecraft or management,sagacious
25,You may be a bit of a perfectionist.,0.9516708114,exhibiting or characterized by careful thought,thoughtful
26,Your mind is deep.,0.9516742645,having intellectual depth,thoughtful
27,Your mind is analytical.,0.9585675818,exhibiting or characterized by careful thought,thoughtful
28,you probably have a good head for numbers.,0.9300020199,possessing sound knowledge,intelligent
29,Your work is usually neat.,0.9180008234,exhibiting or characterized by careful thought,thoughtful
30,Your work is usually orderly.,0.9355047026,neatly arranged; not disorderly,straight
31,you dislike messes.,0.9090107023,able to feel or perceive,sensible
32,you dislike dirt.,0.923266873,expressing or revealing hostility or dislike,dirty
33,You tend to be idealistic.,0.9528108839,reflecting optimism,rose-colored
34,You tend to be optimistic.,0.9700913643,having a positive charge,positive
35,You tend to be dependable.,0.9633795303,dependable,stalwart
36,You tend to be open-minded.,0.9574473573,showing or characterized by broad-mindedness,liberal
37,You tend to be friendly.,0.9828672683,prone to friendly informal communication,chatty
38,You tend to be honest.,0.925096545,consistent with fact or reality; not false,true
39,You tend to be versatile.,0.9174453119,capable of being changed,flexible
40,"You are usually outspoken, sometimes to the point of bluntness.",0.9275562295,given to expressing yourself freely or insistently,vocal
41,You are quiet.,0.9298020412,marked by absence of sound,silent
42,You are shy.,0.941665324,marked by a lack of interest,indifferent
43,You are sensitive.,0.9146942598,exhibiting or characterized by careful thought,thoughtful
44,You are sentimental.,0.9548286562,emotionally involved,involved
45,You are gentle.,0.8850509005,exhibiting or characterized by careful thought,thoughtful
46,You are romantic.,0.9344763211,having or displaying warmth or affection,affectionate
