,inference
0,entailment
1,entailment
2,entailment
3,neutral
4,contradiction
5,contradiction
6,neutral
7,entailment
8,neutral
9,contradiction
10,entailment
11,neutral
12,entailment
13,neutral
14,neutral
15,contradiction
16,entailment
17,entailment
18,entailment
19,entailment
20,entailment
21,contradiction
22,contradiction
23,contradiction
24,neutral
25,entailment
26,entailment
27,entailment
28,neutral
29,entailment
30,neutral
31,entailment
32,neutral
33,entailment
34,neutral
35,neutral
36,entailment
37,neutral
38,entailment
39,entailment
40,entailment
41,neutral
42,entailment
43,contradiction
44,neutral
45,entailment
46,entailment
47,contradiction
48,neutral
49,entailment
50,entailment
51,entailment
52,contradiction
53,entailment
54,entailment
55,entailment
56,contradiction
57,contradiction
58,entailment
59,entailment
60,entailment
61,neutral
62,contradiction
63,contradiction
64,neutral
65,entailment
66,neutral
67,contradiction
68,entailment
69,neutral
70,entailment
71,neutral
72,neutral
73,contradiction
74,entailment
75,entailment
76,entailment
77,entailment
78,entailment
79,contradiction
80,contradiction
81,contradiction
82,neutral
83,entailment
84,entailment
85,entailment
86,neutral
87,entailment
88,neutral
89,entailment
90,neutral
91,entailment
92,neutral
93,neutral
94,entailment
95,neutral
96,entailment
97,entailment
98,entailment
99,neutral
100,entailment
101,contradiction
102,neutral
103,entailment
104,entailment
105,contradiction
106,neutral
107,entailment
108,entailment
109,entailment
110,contradiction
111,entailment
112,entailment
113,entailment
114,contradiction
115,contradiction
116,entailment
117,contradiction
118,neutral
119,contradiction
120,contradiction
121,neutral
122,entailment
123,neutral
124,contradiction
125,contradiction
126,neutral
127,entailment
128,neutral
129,neutral
130,contradiction
131,entailment
132,entailment
133,contradiction
134,entailment
135,entailment
136,contradiction
137,contradiction
138,contradiction
139,neutral
140,contradiction
141,contradiction
142,contradiction
143,neutral
144,entailment
145,neutral
146,entailment
147,neutral
148,entailment
149,neutral
150,neutral
151,entailment
152,neutral
153,contradiction
154,entailment
155,entailment
156,neutral
157,entailment
158,contradiction
159,neutral
160,entailment
161,entailment
162,contradiction
163,neutral
164,entailment
165,entailment
166,entailment
167,contradiction
168,contradiction
169,contradiction
170,entailment
171,contradiction
172,contradiction
173,entailment
174,neutral
175,entailment
176,entailment
177,neutral
178,contradiction
179,neutral
180,entailment
181,contradiction
182,neutral
183,contradiction
184,neutral
185,neutral
186,entailment
187,contradiction
188,contradiction
189,contradiction
190,contradiction
191,entailment
192,entailment
193,entailment
194,entailment
195,neutral
196,contradiction
197,entailment
198,contradiction
199,neutral
200,contradiction
201,neutral
202,contradiction
203,neutral
204,entailment
205,neutral
206,neutral
207,contradiction
208,neutral
209,contradiction
210,contradiction
211,contradiction
212,neutral
213,contradiction
214,entailment
215,neutral
216,contradiction
217,contradiction
218,entailment
219,neutral
220,entailment
221,entailment
222,contradiction
223,entailment
224,contradiction
225,contradiction
226,entailment
227,entailment
228,entailment
229,contradiction
230,neutral
231,neutral
232,neutral
233,neutral
234,neutral
235,neutral
236,neutral
237,neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,neutral
243,neutral
244,neutral
245,neutral
246,neutral
247,neutral
248,neutral
249,neutral
250,neutral
251,neutral
252,neutral
253,neutral
254,neutral
255,neutral
256,neutral
257,neutral
258,neutral
259,neutral
260,entailment
261,neutral
262,neutral
263,neutral
264,neutral
265,neutral
266,neutral
267,neutral
268,neutral
269,neutral
270,neutral
271,neutral
272,neutral
273,neutral
274,neutral
275,neutral
276,neutral
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,neutral
283,neutral
284,neutral
285,entailment
286,neutral
287,entailment
288,neutral
289,entailment
290,entailment
291,neutral
292,contradiction
293,neutral
294,neutral
295,entailment
296,entailment
297,contradiction
298,entailment
299,contradiction
300,contradiction
301,entailment
302,entailment
303,entailment
304,neutral
305,entailment
306,entailment
307,entailment
308,neutral
309,entailment
310,neutral
311,entailment
312,neutral
313,contradiction
314,neutral
315,neutral
316,contradiction
317,neutral
318,entailment
319,contradiction
320,entailment
321,neutral
322,contradiction
323,entailment
324,neutral
325,entailment
326,contradiction
327,entailment
328,neutral
329,contradiction
330,contradiction
331,contradiction
332,entailment
333,entailment
334,entailment
335,contradiction
336,entailment
337,entailment
338,entailment
339,neutral
340,entailment
341,neutral
342,entailment
343,entailment
344,neutral
345,contradiction
346,neutral
347,neutral
348,entailment
349,entailment
350,contradiction
351,entailment
352,contradiction
353,contradiction
354,entailment
355,entailment
356,entailment
357,neutral
358,entailment
359,entailment
360,entailment
361,neutral
362,entailment
363,neutral
364,entailment
365,neutral
366,contradiction
367,neutral
368,neutral
369,contradiction
370,neutral
371,entailment
372,contradiction
373,entailment
374,neutral
375,contradiction
376,entailment
377,neutral
378,entailment
379,contradiction
380,entailment
381,neutral
382,contradiction
383,contradiction
384,contradiction
385,entailment
386,entailment
387,entailment
388,contradiction
389,entailment
390,entailment
391,entailment
392,neutral
393,neutral
394,neutral
395,neutral
396,neutral
397,neutral
398,entailment
399,neutral
400,neutral
401,neutral
402,neutral
403,neutral
404,neutral
405,neutral
406,neutral
407,neutral
408,neutral
409,neutral
410,neutral
411,neutral
412,neutral
413,neutral
414,neutral
415,entailment
416,neutral
417,neutral
418,neutral
419,neutral
420,neutral
421,neutral
422,neutral
423,neutral
424,neutral
425,neutral
426,neutral
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,entailment
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,neutral
443,neutral
444,neutral
445,entailment
446,entailment
447,neutral
448,entailment
449,neutral
450,neutral
451,contradiction
452,entailment
453,entailment
454,entailment
455,entailment
456,contradiction
457,entailment
458,entailment
459,entailment
460,neutral
461,entailment
462,contradiction
463,entailment
464,neutral
465,entailment
466,neutral
467,entailment
468,neutral
469,contradiction
470,neutral
471,neutral
472,entailment
473,neutral
474,entailment
475,entailment
476,entailment
477,neutral
478,entailment
479,contradiction
480,neutral
481,entailment
482,entailment
483,contradiction
484,neutral
485,entailment
486,entailment
487,entailment
