,first,second,first_index,second_index,C1,N1,E1,C2,N2,E2,dist
0,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You have an ingenious mind.,0,1,0.014989617391317153,0.9011929851626059,0.08381743032213165,0.16860255302338634,0.7021981947729417,0.12919926778677832,0.45745353094521146
1,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You have an active mind.,0,2,0.021296218451722342,0.4390754046922253,0.5396283080637133,0.8906271971398274,0.09377751999919506,0.015595359758511297,0.8906271971398274
2,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You have an alert mind.,0,3,0.0026483591950176672,0.2448210472790059,0.7525305548425969,0.0615364697067093,0.7157613184959642,0.2227022442770565,0.12273557627932496
3,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Gaining knowledge and putting it to good use are important to you.,0,4,0.0011374803022771807,0.6334021311438602,0.3654604255431032,0.029133814470742495,0.6672701266771193,0.3035960114268972,0.3436468224034555
4,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You strive for perfection.,0,5,0.0019286811237987493,0.5364623666791994,0.4616088305681579,0.04122119475443148,0.582455744590407,0.3763229637771208,0.30374878974009023
5,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You can be quite the person to live with or to be around because your standards for yourself and others are so high.,0,6,0.004461400804804702,0.9837793870905314,0.011759102797624332,0.20763536841758967,0.6762068001116162,0.11615789477864255,0.49409409936578874
6,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","At times others can never be ""good"" enough to meet those high standards.",0,7,0.0023304960943404318,0.9956293530637876,0.0020400590304813907,0.08775720727173554,0.7559940774395507,0.15624884837480008,0.4989775876629318
7,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Finding fault with what's wrong with things is your forte.,0,8,0.004752806447891833,0.8522780197255181,0.14296928519701824,0.0896295873531238,0.5565410920769324,0.3538293061670877,0.4281739902786544
8,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.",0,9,0.0013066578897213664,0.997667652595102,0.0010254774503718788,0.3057255317968671,0.4772001149574686,0.21707428652772293,0.49948659031512255
9,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Pessimism and being too self-critical are two faults you should try to improve upon.,0,10,0.003324283864797174,0.9584955621258844,0.03818012351568169,0.5592187563887666,0.3889631266269611,0.05181814921694025,0.4808462652065677
10,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","You may tend to worry too much, especially about the small stuff, the little details.",0,11,0.0018137100309321816,0.6445448361241761,0.3536414453131912,0.4946196771362842,0.31702682037425983,0.1883533608994417,0.3228579915945374
11,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",Too much worry can lead to health problems.,0,12,0.0012850586102025243,0.9974126965734752,0.0013021112276435714,0.07456179508128215,0.6477472108135222,0.2776909309489498,0.49934810657783757
12,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You need to learn to digest every experience.,0,13,0.0041986151828613035,0.9466981314326124,0.04910339580893885,0.031656124597723004,0.6666982856616689,0.30164568376170964,0.4753447878590028
13,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","You need to learn to assimilate it without bitterness, regret, spite or resentment.",0,14,0.001988030917927435,0.9941018211723596,0.003910353639091021,0.04209000791534378,0.7919037139653037,0.16600624421756668,0.49804092888955503
14,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You need to get rid of any negativity that stems from a feeling of inadequacy.,0,15,0.0023340804619212704,0.9870259966545816,0.010639914875083242,0.07759764910598517,0.707542207174029,0.2148602099283869,0.49466759626037055
15,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.","You tend to look younger than you really are, no matter what your age.",0,16,0.05406912746573947,0.9344903016774284,0.011440437144277829,0.07989138841073175,0.6641094462999907,0.25599918588785986,0.4939528145799932
16,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are very restless.,0,17,0.9000296189983589,0.0926277410252605,0.0073426473699454075,0.8247211722607115,0.1439094872440156,0.03136925715704029,0.9000296189983589
17,"People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.",You are very nervous.,0,18,0.12867838601192436,0.835741662350085,0.03557998313688002,0.07291939880925104,0.6731680364757323,0.25391249814044564,0.47958275034187
