,sentence,score,definition,trait
0,You never give up.,0.9008070496235396,showing a fighting disposition,competitive
1,You never find it difficult to change your mind or course in mid-stream.,0.9394177697689344,capable of being changed,flexible
2,"Whatever you have set your sights on, you refuse to give up or let go of it.",0.9104739465043352,acting with a specific goal,shrewd
3,You are patient unless someone takes you too far.,0.9277914694885958,beyond or deviating from the usual or expected,funny
4,You are usually slow to anger unless someone takes you too far.,0.9466805156033128,not easily irritated,placid
5,You are reliable.,0.9331665140619992,having or marked by confidence or assurance,confident
6,You are consistent.,0.9208826161047888,in keeping,concordant
7,You can handle more of the workload than most around you.,0.9016642384083964,having substance or capable of being treated as fact; not imaginary,real
8,"You prefer a regular routine, defined responsibilities.",0.9477702136043407,formally laid down or imposed,positive
9,"You prefer a regular routine, defined tasks.",0.9372918143778228,formally laid down or imposed,positive
10,You enjoy building and seeing the results of your hard work.,0.9206165189560847,exhibiting or characterized by careful thought,thoughtful
11,"Keeping things going is your strength, especially once someone else starts them.",0.9135512942274713,being or occurring in fact or actuality; having verified existence; not illusory,real
12,Money and possessions are important to you for the feelings of security they bring.,0.9281576391478942,having or marked by confidence or assurance,confident
13,You are handy with your hands.,0.9173970545559781,having substance or capable of being treated as fact; not imaginary,real
14,You may be ambidextrous or mechanically inclined.,0.8846460995170238,able to exist and perform in harmonious or agreeable combination,compatible
15,Debate and argument appeal to you.,0.9322755565768341,stimulating interest or thought,challenging
16,You grasp concepts easily.,0.8919878617465594,of or associated with or requiring the use of the mind,rational
17,You may become impatient with those who do n't learn as quickly.,0.8778741362853117,being or occurring in fact or actuality; having verified existence; not illusory,real
18,"You are very direct in thought, action, and speech and everyone knows how you feel.",0.9664176906476533,capable of thinking and expressing yourself in a clear and consistent manner,coherent
19,You are adventurous.,0.9230978126797207,marked by excited activity,hot
20,You are courageous.,0.9508910767190154,showing courage,spunky
21,You are independent.,0.8857542209501291,having substance or capable of being treated as fact; not imaginary,real
22,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.",0.9822591423611394,characterized by energetic activity,active
23,You have common sense to manage others.,0.9605745247574972,possessing sound knowledge,intelligent
24,You have the ability to manage others.,0.906305813924155,showing self-interest and shrewdness in dealing with others,canny
25,You may be a bit of a perfectionist.,0.9516708113895338,exhibiting or characterized by careful thought,thoughtful
26,Your mind is deep.,0.9516742644693383,having intellectual depth,thoughtful
27,Your mind is analytical.,0.958567581759779,exhibiting or characterized by careful thought,thoughtful
28,you probably have a good head for numbers.,0.9300020198982543,possessing sound knowledge,intelligent
29,Your work is usually neat.,0.9180008234126897,exhibiting or characterized by careful thought,thoughtful
30,Your work is usually orderly.,0.9152729070024666,having substance or capable of being treated as fact; not imaginary,real
31,you dislike messes.,0.9090107023107717,able to feel or perceive,sensible
32,you dislike dirt.,0.9232668730496135,expressing or revealing hostility or dislike,dirty
33,You tend to be idealistic.,0.9316899085091002,showing or characterized by broad-mindedness,liberal
34,You tend to be optimistic.,0.9700913643203385,having a positive charge,positive
35,You tend to be dependable.,0.9275754141506842,having or marked by confidence or assurance,confident
36,You tend to be open-minded.,0.9574473572677716,showing or characterized by broad-mindedness,liberal
37,You tend to be friendly.,0.9828672682654842,prone to friendly informal communication,chatty
38,You tend to be honest.,0.9250965449666376,consistent with fact or reality; not false,true
39,You tend to be versatile.,0.9174453119184642,capable of being changed,flexible
40,"You are usually outspoken, sometimes to the point of bluntness.",0.9275562294814185,given to expressing yourself freely or insistently,vocal
41,You are quiet.,0.8925939743173208,quieted and brought under control,subdued
42,You are shy.,0.9416653240403917,marked by a lack of interest,indifferent
43,You are sensitive.,0.9146942597543752,exhibiting or characterized by careful thought,thoughtful
44,You are sentimental.,0.9548286561706851,emotionally involved,involved
45,You are gentle.,0.8850509004882456,exhibiting or characterized by careful thought,thoughtful
46,You are romantic.,0.9344763210914271,having or displaying warmth or affection,affectionate
