,first,second
0,You never give up and find it difficult to change your mind or course in mid-stream.,"Whatever you have set your sights on, you refuse to give up or let go of it."
1,You never give up and find it difficult to change your mind or course in mid-stream.,You are patient and usually slow to anger unless someone takes you too far.
2,You never give up and find it difficult to change your mind or course in mid-stream.,You are reliable and consistent and can handle more of the workload than most around you.
3,You never give up and find it difficult to change your mind or course in mid-stream.,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks."
4,You never give up and find it difficult to change your mind or course in mid-stream.,You enjoy building and seeing the results of your hard work.
5,You never give up and find it difficult to change your mind or course in mid-stream.,"Keeping things going is your strength, especially once someone else starts them."
6,You never give up and find it difficult to change your mind or course in mid-stream.,Money and possessions are important to you for the feelings of security they bring.
7,You never give up and find it difficult to change your mind or course in mid-stream.,You are handy with your hands and may be ambidextrous or mechanically inclined.
8,You never give up and find it difficult to change your mind or course in mid-stream.,Debate and argument appeal to you.
9,You never give up and find it difficult to change your mind or course in mid-stream.,You grasp concepts easily and may become impatient with those who don't learn as quickly.
10,You never give up and find it difficult to change your mind or course in mid-stream.,"You are very direct in thought, action, and speech and everyone knows how you feel."
11,You never give up and find it difficult to change your mind or course in mid-stream.,"You are adventurous, courageous, and independent."
12,You never give up and find it difficult to change your mind or course in mid-stream.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
13,You never give up and find it difficult to change your mind or course in mid-stream.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
14,You never give up and find it difficult to change your mind or course in mid-stream.,Your mind is deep and analytical and you probably have a good head for numbers.
15,You never give up and find it difficult to change your mind or course in mid-stream.,Your work is usually neat and orderly and you dislike messes and dirt.
16,You never give up and find it difficult to change your mind or course in mid-stream.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
17,You never give up and find it difficult to change your mind or course in mid-stream.,"You are usually outspoken, sometimes to the point of bluntness."
18,You never give up and find it difficult to change your mind or course in mid-stream.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
19,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are patient and usually slow to anger unless someone takes you too far.
20,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are reliable and consistent and can handle more of the workload than most around you.
21,"Whatever you have set your sights on, you refuse to give up or let go of it.","You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks."
22,"Whatever you have set your sights on, you refuse to give up or let go of it.",You enjoy building and seeing the results of your hard work.
23,"Whatever you have set your sights on, you refuse to give up or let go of it.","Keeping things going is your strength, especially once someone else starts them."
24,"Whatever you have set your sights on, you refuse to give up or let go of it.",Money and possessions are important to you for the feelings of security they bring.
25,"Whatever you have set your sights on, you refuse to give up or let go of it.",You are handy with your hands and may be ambidextrous or mechanically inclined.
26,"Whatever you have set your sights on, you refuse to give up or let go of it.",Debate and argument appeal to you.
27,"Whatever you have set your sights on, you refuse to give up or let go of it.",You grasp concepts easily and may become impatient with those who don't learn as quickly.
28,"Whatever you have set your sights on, you refuse to give up or let go of it.","You are very direct in thought, action, and speech and everyone knows how you feel."
29,"Whatever you have set your sights on, you refuse to give up or let go of it.","You are adventurous, courageous, and independent."
30,"Whatever you have set your sights on, you refuse to give up or let go of it.","You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
31,"Whatever you have set your sights on, you refuse to give up or let go of it.","You have common sense and the ability to manage others, but may be a bit of a perfectionist."
32,"Whatever you have set your sights on, you refuse to give up or let go of it.",Your mind is deep and analytical and you probably have a good head for numbers.
33,"Whatever you have set your sights on, you refuse to give up or let go of it.",Your work is usually neat and orderly and you dislike messes and dirt.
34,"Whatever you have set your sights on, you refuse to give up or let go of it.","You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
35,"Whatever you have set your sights on, you refuse to give up or let go of it.","You are usually outspoken, sometimes to the point of bluntness."
36,"Whatever you have set your sights on, you refuse to give up or let go of it.","You are quiet, shy, sensitive, sentimental, gentle, and romantic."
37,You are patient and usually slow to anger unless someone takes you too far.,You are reliable and consistent and can handle more of the workload than most around you.
38,You are patient and usually slow to anger unless someone takes you too far.,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks."
39,You are patient and usually slow to anger unless someone takes you too far.,You enjoy building and seeing the results of your hard work.
40,You are patient and usually slow to anger unless someone takes you too far.,"Keeping things going is your strength, especially once someone else starts them."
41,You are patient and usually slow to anger unless someone takes you too far.,Money and possessions are important to you for the feelings of security they bring.
42,You are patient and usually slow to anger unless someone takes you too far.,You are handy with your hands and may be ambidextrous or mechanically inclined.
43,You are patient and usually slow to anger unless someone takes you too far.,Debate and argument appeal to you.
44,You are patient and usually slow to anger unless someone takes you too far.,You grasp concepts easily and may become impatient with those who don't learn as quickly.
45,You are patient and usually slow to anger unless someone takes you too far.,"You are very direct in thought, action, and speech and everyone knows how you feel."
46,You are patient and usually slow to anger unless someone takes you too far.,"You are adventurous, courageous, and independent."
47,You are patient and usually slow to anger unless someone takes you too far.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
48,You are patient and usually slow to anger unless someone takes you too far.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
49,You are patient and usually slow to anger unless someone takes you too far.,Your mind is deep and analytical and you probably have a good head for numbers.
50,You are patient and usually slow to anger unless someone takes you too far.,Your work is usually neat and orderly and you dislike messes and dirt.
51,You are patient and usually slow to anger unless someone takes you too far.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
52,You are patient and usually slow to anger unless someone takes you too far.,"You are usually outspoken, sometimes to the point of bluntness."
53,You are patient and usually slow to anger unless someone takes you too far.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
54,You are reliable and consistent and can handle more of the workload than most around you.,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks."
55,You are reliable and consistent and can handle more of the workload than most around you.,You enjoy building and seeing the results of your hard work.
56,You are reliable and consistent and can handle more of the workload than most around you.,"Keeping things going is your strength, especially once someone else starts them."
57,You are reliable and consistent and can handle more of the workload than most around you.,Money and possessions are important to you for the feelings of security they bring.
58,You are reliable and consistent and can handle more of the workload than most around you.,You are handy with your hands and may be ambidextrous or mechanically inclined.
59,You are reliable and consistent and can handle more of the workload than most around you.,Debate and argument appeal to you.
60,You are reliable and consistent and can handle more of the workload than most around you.,You grasp concepts easily and may become impatient with those who don't learn as quickly.
61,You are reliable and consistent and can handle more of the workload than most around you.,"You are very direct in thought, action, and speech and everyone knows how you feel."
62,You are reliable and consistent and can handle more of the workload than most around you.,"You are adventurous, courageous, and independent."
63,You are reliable and consistent and can handle more of the workload than most around you.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual."
64,You are reliable and consistent and can handle more of the workload than most around you.,"You have common sense and the ability to manage others, but may be a bit of a perfectionist."
65,You are reliable and consistent and can handle more of the workload than most around you.,Your mind is deep and analytical and you probably have a good head for numbers.
66,You are reliable and consistent and can handle more of the workload than most around you.,Your work is usually neat and orderly and you dislike messes and dirt.
67,You are reliable and consistent and can handle more of the workload than most around you.,"You tend to be idealistic, optimistic, dependable, open-minded, friendly, honest and versatile."
68,You are reliable and consistent and can handle more of the workload than most around you.,"You are usually outspoken, sometimes to the point of bluntness."
69,You are reliable and consistent and can handle more of the workload than most around you.,"You are quiet, shy, sensitive, sentimental, gentle, and romantic."
70,"You prefer a regular routine, with definite hours and clearly defined responsibilities and tasks.",You enjoy building and seeing the results of your hard work.
