,inference
0,entailment
1,contradiction
2,entailment
3,neutral
4,contradiction
5,neutral
6,entailment
7,entailment
8,neutral
9,entailment
10,entailment
11,neutral
12,neutral
13,entailment
14,neutral
15,contradiction
16,entailment
17,neutral
18,contradiction
19,neutral
20,neutral
21,entailment
22,entailment
23,contradiction
24,entailment
25,contradiction
26,contradiction
27,contradiction
28,neutral
29,neutral
30,entailment
31,contradiction
32,neutral
33,neutral
34,entailment
35,neutral
36,entailment
37,contradiction
38,entailment
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,neutral
45,neutral
46,contradiction
47,entailment
48,neutral
49,contradiction
50,neutral
51,entailment
52,entailment
53,neutral
54,entailment
55,entailment
56,neutral
57,neutral
58,entailment
59,neutral
60,contradiction
61,entailment
62,neutral
63,contradiction
64,neutral
65,neutral
66,entailment
67,entailment
68,contradiction
69,entailment
70,contradiction
71,contradiction
72,contradiction
73,neutral
74,neutral
75,entailment
76,contradiction
77,neutral
78,neutral
79,entailment
80,neutral
81,entailment
82,contradiction
83,entailment
84,neutral
85,neutral
86,neutral
87,neutral
88,neutral
89,neutral
90,neutral
91,contradiction
92,neutral
93,entailment
94,neutral
95,contradiction
96,entailment
97,neutral
98,contradiction
99,entailment
100,neutral
101,neutral
102,contradiction
103,neutral
104,entailment
105,contradiction
106,neutral
107,entailment
108,neutral
109,neutral
110,contradiction
111,contradiction
112,entailment
113,contradiction
114,contradiction
115,contradiction
116,entailment
117,neutral
118,neutral
119,contradiction
120,entailment
121,neutral
122,neutral
123,contradiction
124,neutral
125,contradiction
126,entailment
127,contradiction
128,neutral
129,neutral
130,neutral
131,neutral
132,neutral
133,neutral
134,neutral
135,neutral
136,contradiction
137,neutral
138,entailment
139,entailment
140,neutral
141,entailment
142,entailment
143,neutral
144,neutral
145,entailment
146,neutral
147,contradiction
148,entailment
149,neutral
150,contradiction
151,neutral
152,neutral
153,entailment
154,entailment
155,contradiction
156,entailment
157,contradiction
158,contradiction
159,contradiction
160,neutral
161,neutral
162,entailment
163,contradiction
164,neutral
165,neutral
166,entailment
167,neutral
168,entailment
169,contradiction
170,entailment
171,neutral
172,neutral
173,neutral
174,neutral
175,neutral
176,neutral
177,neutral
178,neutral
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,neutral
197,neutral
